Arcade Station|39 Charts|_H
사랑가 2006 (Love Song 2006)|Nightmare|https://www.youtube.com/watch?v=zFFSfHFX5AY&ab_channel=JUNTROLL
사랑가 2006 (Love Song 2006)|LightMap|
사랑스러워 (Lovely)|Nightmare|https://www.youtube.com/watch?v=8ZFY9E5Icz0&ab_channel=Turkeyslam
사랑스러워 (Lovely)|LightMap|
자유로와 (Free!)|Freestyle|
자유로와 (Free!)|LightMap|
종점 보관소 (Terminal Depository)|Crazy|https://www.youtube.com/watch?v=pbKzvGit1cI&ab_channel=Pineda%27sGames
종점 보관소 (Terminal Depository)|Nightmare|https://www.youtube.com/watch?v=zXzRXvRG198&ab_channel=mentormin%EB%A9%98%ED%86%A8%EB%AF%BC
종점 보관소 (Terminal Depository)|LightMap|
투우사의 노래 (Bullfighter's Song)|Hard|https://www.youtube.com/watch?v=lN4xMc3Lr4A&ab_channel=JUNTROLL
투우사의 노래 (Bullfighter's Song)|Crazy|https://www.youtube.com/watch?v=Pn5YIQHP3ro&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
투우사의 노래 (Bullfighter's Song)|LightMap|
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|Crazy|https://www.youtube.com/watch?v=r7iMMNUsEaQ&ab_channel=Turkeyslam
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|Freestyle|https://www.youtube.com/watch?v=UBEI7nZ_ISU&ab_channel=Turkeyslam
현진영 Go 진영 Go (Hyun Jin Young Go Jin Young Go)|LightMap|
흐린 기억속의 그대 (U Inside My Dim Memory)|Hard|https://www.youtube.com/watch?v=mZjz3l-CZEI&ab_channel=ArudoRLZ
흐린 기억속의 그대 (U Inside My Dim Memory)|Crazy|https://www.youtube.com/watch?v=z5gE1XeryhQ&ab_channel=speedpump
흐린 기억속의 그대 (U Inside My Dim Memory)|Nightmare|https://www.youtube.com/watch?v=TUgtzeVgLts&t=17s&ab_channel=%ED%94%BC%ED%8E%A8%EC%A6%88FEFEMZ
흐린 기억속의 그대 (U Inside My Dim Memory)|LightMap|
Arch of Darkness|Normal|https://www.youtube.com/watch?v=2gENRCPPYPs&ab_channel=ArudoRLZ
Arch of Darkness|Crazy|https://www.youtube.com/watch?v=WZGzTktwewo&ab_channel=%EB%84%A4%EB%B8%8C%EC%8B%9C%EC%8A%A4%ED%84%B0NEVSISTER
Arch of Darkness|LightMap|
